,"tBodyAccJerk-arCoeff()-Z,2","tBodyAccJerk-arCoeff()-Z,1","tBodyAccJerk-arCoeff()-X,2",tBodyAccJerk-entropy()-Z,"tBodyAccJerk-arCoeff()-Y,4","tBodyAccJerk-arCoeff()-Y,3","tBodyAccJerk-arCoeff()-Y,1","tBodyAccJerk-arCoeff()-Y,2","tBodyAccJerk-arCoeff()-X,1","tBodyAccJerk-arCoeff()-X,4","tBodyAccJerk-arCoeff()-Z,4","tBodyAccJerk-arCoeff()-Z,3",tBodyAccJerk-mean()-Z
0,-0.56979119,0.34177752,-0.22074703,-0.88885295,0.37343945,0.2641772,0.24140146,-0.052252848,1.0,0.38764356,-0.47787489,0.26539882,-0.067830808
1,0.18061304,0.12221568,0.070997076,-0.76738085,0.41354814,0.37049343,0.14939565,0.062925097,0.48966215,0.52730342,0.16657268,0.047423999,0.029376633
2,0.07002964,0.25789087,0.18839474,-0.74710675,0.43762317,0.32747023,0.082664878,-0.0046216748,0.26522482,0.37171788,0.24679966,0.18697299,-0.0090456308
3,-0.18703248,0.35765714,0.27641881,-0.82527857,0.48424363,0.19467885,0.10240466,-0.09910322,0.122893,0.19341434,0.45186955,0.29806872,-0.0098647722
4,-0.030309087,0.38953712,0.13491152,-0.79695964,0.41796623,0.47745449,0.31897047,-0.14336412,0.24090421,0.2871847,0.18018886,0.16326125,0.016779979
5,0.043385337,0.36868895,0.10044972,-0.79088588,0.351976,0.56266463,0.35057743,-0.077269461,0.28068582,0.20194676,0.29917195,0.14731149,0.0093444336
6,0.15541974,0.29292979,0.031070108,-0.74893104,0.17978786,0.17051418,0.078529161,-0.0039674174,0.31820612,0.23980786,0.61188655,0.24354692,-0.015798166
7,0.16937353,0.29099743,-0.017295796,-0.7779456,0.27401695,0.12256143,0.16317408,0.02584913,0.38761715,0.39387117,0.53015943,0.33168435,-0.0044681354
8,-0.018772526,0.27928552,0.077238687,-0.8680572,0.48265016,0.17710218,0.22156926,0.059024589,0.37568929,0.32642026,0.17102052,0.2005351,0.01121195
9,0.18472239,-0.027805781,0.12155186,-0.76720791,0.3897021,0.063532105,-0.029588552,0.2252811,0.1365634,-0.041056692,0.2133988,-0.22484604,0.0030843751
10,0.053048033,0.108127,-0.011399238,-0.66149237,0.32016688,-0.078466281,-0.11834403,0.32421249,0.25135646,-0.026376546,0.22299187,0.019117653,0.0010303821
11,0.011049791,0.37970091,-0.10532069,-0.73490451,0.35596286,0.094012813,0.20613103,0.13831503,0.40660511,0.3021264,0.32414708,0.3424935,-0.0076736296
12,0.25156192,0.12024525,0.25079139,-0.78378958,0.22053782,0.36598854,0.34509561,0.084757574,0.18494272,0.30309843,0.18890014,0.019340305,-0.00098523943
13,0.27630885,0.053632484,0.19259041,-0.79015164,0.35107044,0.40113071,0.31251821,-0.084436666,0.28605309,0.26636559,0.31541473,-0.034907489,0.015207683
14,0.12300733,-0.063728765,0.14102898,-0.804221,0.15318688,-0.30606413,-0.32838295,0.30777551,0.32987626,0.21374654,0.30039227,-0.20296569,-0.033607601
